"","yy","type","value","sd"
"1","2009","obs",2.27615938209481,0.767645710270281
"2","2010","obs",1.25150637530689,0.796069825936287
"3","2011","obs",0.580066544909072,2.09674000626313
"4","2012","obs",0.364780935111577,2.50924489438679
"5","2013","obs",0.801126942009199,1.84393105497895
"6","2014","obs",0.417517620173737,2.7244284524831
"7","2015","obs",0.8888498517886,1.37926618679431
"8","2016","obs",0.625017604515719,0.810463778135885
"9","2017","obs",0.973626228203385,0.67657030127574
"10","2018","obs",0.610424598661448,1.32262095192679
"11","2019","obs",0.559492687719406,0.582763756175942
"12","2020","obs",0.373816563417803,1.43184921406691
"13","2009","m3",2.27615938209485,0
"14","2010","m3",0.909403607681291,0.622166142136016
"15","2011","m3",1.18179910292196,1.29234783687113
"16","2012","m3",0.993699032621555,0.964950160683366
"17","2013","m3",1.14058648039432,0.418099625642213
"18","2014","m3",1.26930646880964,2.01781588763204
"19","2015","m3",1.34604154239274,0.677192183113131
"20","2016","m3",0.688142388930089,0.45157472304414
"21","2017","m3",0.957283412119289,0.0365483363149788
"22","2018","m3",0.812156694954588,0.458034002129728
"23","2019","m3",0.867891016817434,0.334910011218169
"24","2020","m3",0.523343201543245,0.380281930157988
"25","2009","m4",2.22856548106339,0.0141972138761434
"26","2010","m4",2.05526371933128,0.476298976041799
"27","2011","m4",0.805289439401758,0.415494030891201
"28","2012","m4",0.637636679668077,0.492380143895568
"29","2013","m4",1.25177744545578,0.518640528630226
"30","2014","m4",0.581762869400109,0.427153363064084
"31","2015","m4",1.19876795671497,0.391400941361728
"32","2016","m4",0.95949481113769,0.42474512401793
"33","2017","m4",1.29778925925534,0.458523769982958
"34","2018","m4",0.886155849548071,0.415117101448953
"35","2019","m4",0.871848134355293,0.353515803473173
"36","2020","m4",0.612995734109107,0.383314408109688
"37","2009","m5",2.11277736315679,0.0500431162780358
"38","2010","m5",0.894932382144111,0.624406709333038
"39","2011","m5",1.11857982180343,1.29325164479717
"40","2012","m5",1.00492646627584,0.968087147627582
"41","2013","m5",1.08722098220193,0.42433934332029
"42","2014","m5",1.23345399840504,2.01930205775765
"43","2015","m5",1.34241726720678,0.679219492628647
"44","2016","m5",0.673683366489682,0.455293918123919
"45","2017","m5",1.01073040373728,0.0781691122986328
"46","2018","m5",0.913889661020964,0.463002692072916
"47","2019","m5",0.912506115093788,0.340931834381005
"48","2020","m5",0.588166951394885,0.382111613525005
